,title,offer_price,ratings
0,Men's Powder Search 2.0 3-in-1 Jacket | Eddie Bauer,275.40 CAD,4.75
1,Men's Powder Search 2.0 3-in-1 Jacket | Eddie Bauer,275.40 CAD,4.75
2,Men's Eddie's Favorite Ultrasoft Thermal Henley | Eddie Bauer,42.00 CAD,4.75
3,Men's Eddie's Favorite Ultrasoft Thermal Henley | Eddie Bauer,42.00 CAD,4.75
4,Men's Superior Down Parka | Eddie Bauer,269.40 CAD,4.65
5,Men's Superior Down Parka | Eddie Bauer,269.40 CAD,4.65
6,Men's Eddie's Favorite Flannel Classic Fit Shirt - Solid | Eddie Bauer,60.00 CAD,4.55
7,Men's Eddie's Favorite Flannel Classic Fit Shirt - Solid | Eddie Bauer,60.00 CAD,4.55
8,Men's Guide Pro Lined Pants | Eddie Bauer,77.40 CAD,4.75
9,Men's Guide Pro Lined Pants | Eddie Bauer,77.40 CAD,4.75
10,Men's Eddie's Favorite Ultrasoft Thermal Crew | Eddie Bauer,39.00 CAD,4.75
11,Men's Eddie's Favorite Ultrasoft Thermal Crew | Eddie Bauer,39.00 CAD,4.75
12,Men's Superior Down Stadium Coat | Eddie Bauer,299.40 CAD,4.85
13,Men's Superior Down Stadium Coat | Eddie Bauer,299.40 CAD,4.85
14,Men's K-6 Boot | Eddie Bauer,168.00 CAD,4.45
15,Men's K-6 Boot | Eddie Bauer,168.00 CAD,4.45
16,Men's H2low Flex Jeans - Straight | Eddie Bauer,,4.25
17,Men's H2low Flex Jeans - Straight | Eddie Bauer,,4.25
18,Severson Moc Toe Boots | Eddie Bauer,138.00 CAD,4.55
19,Severson Moc Toe Boots | Eddie Bauer,138.00 CAD,4.55
20,Men's Voyager Flex 2.0 Jeans | Eddie Bauer,,4.65
21,Men's Voyager Flex 2.0 Jeans | Eddie Bauer,,4.65
22,Men's Cirruslite Down Vest | Eddie Bauer,77.40 CAD,4.65
23,Men's Cirruslite Down Vest | Eddie Bauer,77.40 CAD,4.65
24,Men's Downlight® Freefuse™ Jacket | Eddie Bauer,215.40 CAD,4.65
25,Men's Downlight® Freefuse™ Jacket | Eddie Bauer,215.40 CAD,4.65
26,Storm Sneaker | Eddie Bauer,99.60 CAD,4.55
27,Storm Sneaker | Eddie Bauer,99.60 CAD,4.55
28,Men's H2low Flex Flannel-lined Jeans | Eddie Bauer,77.40 CAD,4.75
29,Men's H2low Flex Flannel-lined Jeans | Eddie Bauer,77.40 CAD,4.75
30,Men's Eddie's Favorite Classic Fit Flannel - Plaid  | Eddie Bauer,60.00 CAD,4.65
31,Men's Eddie's Favorite Classic Fit Flannel - Plaid  | Eddie Bauer,60.00 CAD,4.65
32,Men's Eddie's Favorite Flannel Sleep Pants | Eddie Bauer,45.60 CAD,4.75
33,Men's Eddie's Favorite Flannel Sleep Pants | Eddie Bauer,45.60 CAD,4.75
34,Men's H2low Flex Fleece-lined Jeans | Eddie Bauer,77.40 CAD,4.75
35,Men's H2low Flex Fleece-lined Jeans | Eddie Bauer,77.40 CAD,4.75
36,Men's Eddie Bauer Signature Fleece Faux Shearling-lined 1/4-zip | Eddie Bauer,60.00 CAD,4.85
37,Men's Eddie Bauer Signature Fleece Faux Shearling-lined 1/4-zip | Eddie Bauer,60.00 CAD,4.85
38,Men's Glacier Peak Seamless Stretch Down Parka | Eddie Bauer,227.40 CAD,4.65
39,Men's Glacier Peak Seamless Stretch Down Parka | Eddie Bauer,227.40 CAD,4.65
40,Men's Mainstay Insulated Trench Coat | Eddie Bauer,179.40 CAD,4.55
41,Men's Mainstay Insulated Trench Coat | Eddie Bauer,179.40 CAD,4.55
42,Men's Legend Wash 100% Cotton Long-sleeve Classic T-shirt | Eddie Bauer,,4.65
43,Men's Legend Wash 100% Cotton Long-sleeve Classic T-shirt | Eddie Bauer,,4.65
44,Men's H2low Flex Jeans - Slim | Eddie Bauer,65.40 CAD,4.45
45,Men's H2low Flex Jeans - Slim | Eddie Bauer,65.40 CAD,4.45
46,Men's Downlight® Freefuse™ Hoodie | Eddie Bauer,227.40 CAD,4.35
47,Men's Downlight® Freefuse™ Hoodie | Eddie Bauer,227.40 CAD,4.35
48,Men's Flex Wrinkle-resistant Sport Chinos - Classic | Eddie Bauer,65.40 CAD,4.45
49,Men's Flex Wrinkle-resistant Sport Chinos - Classic | Eddie Bauer,65.40 CAD,4.45
50,Men's Snowfoil® Pull-on Boots | Eddie Bauer,120.00 CAD,4.15
51,Men's Snowfoil® Pull-on Boots | Eddie Bauer,120.00 CAD,4.15
52,Men's Legend Wash 100% Cotton Short-sleeve Classic T-shirt | Eddie Bauer,,4.45
53,Men's Legend Wash 100% Cotton Short-sleeve Classic T-shirt | Eddie Bauer,,4.45
54,Men's Superior Tailgate Parka | Eddie Bauer,419.40 CAD,4.75
55,Men's Superior Tailgate Parka | Eddie Bauer,419.40 CAD,4.75
56,Men's Shearling-lined Moccasin Slippers | Eddie Bauer,84.00 CAD,4.65
57,Men's Shearling-lined Moccasin Slippers | Eddie Bauer,84.00 CAD,4.65
58,Buffalo Check Santa Hat | Eddie Bauer,35.40 CAD,4.45
59,Buffalo Check Santa Hat | Eddie Bauer,35.40 CAD,4.45
60,Men's Horizon Guide Chino Pants - Slim Fit | Eddie Bauer,60.00 CAD,4.65
61,Men's Horizon Guide Chino Pants - Slim Fit | Eddie Bauer,60.00 CAD,4.65
62,Men's Cirruslite Down Jacket | Eddie Bauer,99.00 CAD,4.55
63,Men's Cirruslite Down Jacket | Eddie Bauer,99.00 CAD,4.55
64,Men's Chilali Faux Shearling-fleece Full-zip Mock | Eddie Bauer,113.40 CAD,4.55
65,Men's Chilali Faux Shearling-fleece Full-zip Mock | Eddie Bauer,113.40 CAD,4.55
66,Men's Evertherm® 2.0 Down Hooded Jacket | Eddie Bauer,227.40 CAD,4.35
67,Men's Evertherm® 2.0 Down Hooded Jacket | Eddie Bauer,227.40 CAD,4.35
68,Men's Eddie's Favorite Faux Shearling-lined Flannel Shirt Jacket | Eddie Bauer,99.00 CAD,4.75
69,Men's Eddie's Favorite Faux Shearling-lined Flannel Shirt Jacket | Eddie Bauer,99.00 CAD,4.75
70,Men's Quest Fleece 1/4-zip Pullover | Eddie Bauer,51.00 CAD,4.75
71,Men's Quest Fleece 1/4-zip Pullover | Eddie Bauer,51.00 CAD,4.75
72,Men's Horizon Guide Chino Pants | Eddie Bauer,60.00 CAD,4.55
73,Men's Horizon Guide Chino Pants | Eddie Bauer,60.00 CAD,4.55
74,Men's Superior Down Bomber Jacket | Eddie Bauer,227.40 CAD,4.55
75,Men's Superior Down Bomber Jacket | Eddie Bauer,227.40 CAD,4.55
76,Men's Eddie's Favorite Flannel Relaxed Fit Shirt - Plaid | Eddie Bauer,60.00 CAD,4.65
77,Men's Eddie's Favorite Flannel Relaxed Fit Shirt - Plaid | Eddie Bauer,60.00 CAD,4.65
78,Men's 1936 Skyliner Model Down Jacket | Eddie Bauer,179.40 CAD,4.45
79,Men's 1936 Skyliner Model Down Jacket | Eddie Bauer,179.40 CAD,4.45
80,Men's Voyager Flex Fleece-lined Chino Pants | Eddie Bauer,77.40 CAD,4.75
81,Men's Voyager Flex Fleece-lined Chino Pants | Eddie Bauer,77.40 CAD,4.75
82,Men's Stratustherm Down Jacket | Eddie Bauer,107.40 CAD,4.55
83,Men's Stratustherm Down Jacket | Eddie Bauer,107.40 CAD,4.55
84,Men's Boundary Pass Down Parka | Eddie Bauer,179.40 CAD,4.65
85,Men's Boundary Pass Down Parka | Eddie Bauer,179.40 CAD,4.65
86,Men's Tripletherm™ Down Alpine Parka | Eddie Bauer,383.40 CAD,4.35
87,Men's Tripletherm™ Down Alpine Parka | Eddie Bauer,383.40 CAD,4.35
88,Men's Snowfoil® Boot | Eddie Bauer,120.00 CAD,4.65
89,Men's Snowfoil® Boot | Eddie Bauer,120.00 CAD,4.65
90,Men's Microtherm® 2.0 Down Hooded Jacket | Eddie Bauer,209.40 CAD,4.25
91,Men's Microtherm® 2.0 Down Hooded Jacket | Eddie Bauer,209.40 CAD,4.25
92,Men's Cloud Cap Rain Jacket | Eddie Bauer,77.40 CAD,4.45
93,Men's Cloud Cap Rain Jacket | Eddie Bauer,77.40 CAD,4.45
94,Storm Sneaker - Leather | Eddie Bauer,108.00 CAD,4.45
95,Storm Sneaker - Leather | Eddie Bauer,108.00 CAD,4.45
96,Men's Powder Search 2.0 Insulated Pants | Eddie Bauer,155.40 CAD,4.65
97,Men's Powder Search 2.0 Insulated Pants | Eddie Bauer,155.40 CAD,4.65
98,Men's Snowcat Fleece-lined Canvas Pants | Eddie Bauer,93.00 CAD,4.85
99,Men's Snowcat Fleece-lined Canvas Pants | Eddie Bauer,93.00 CAD,4.85
100,Men's Cirruslite Hooded Down Jacket | Eddie Bauer,113.40 CAD,4.55
101,Men's Cirruslite Hooded Down Jacket | Eddie Bauer,113.40 CAD,4.55
102,Men's Rainier Pants | Eddie Bauer,53.99 CAD,4.65
103,Men's Rainier Pants | Eddie Bauer,53.99 CAD,4.65
104,Men's Stratustherm Down Vest | Eddie Bauer,83.40 CAD,4.65
105,Men's Stratustherm Down Vest | Eddie Bauer,83.40 CAD,4.65
106,Men's Guide Pro Pants | Eddie Bauer,65.40 CAD,4.55
107,Men's Guide Pro Pants | Eddie Bauer,65.40 CAD,4.55
108,Men's Seabeck Down Parka | Eddie Bauer,215.40 CAD,4.55
109,Men's Seabeck Down Parka | Eddie Bauer,215.40 CAD,4.55
110,Men's Severson Chelsea Boots | Eddie Bauer,138.00 CAD,3.75
111,Men's Severson Chelsea Boots | Eddie Bauer,138.00 CAD,3.75
112,Men's Microlight Down Jacket | Eddie Bauer,107.99 CAD,4.65
113,Men's Microlight Down Jacket | Eddie Bauer,107.99 CAD,4.65
114,Men's Peak Xv Down Jacket | Eddie Bauer,383.40 CAD,4.65
115,Men's Peak Xv Down Jacket | Eddie Bauer,383.40 CAD,4.65
116,Men's Voyager Flex Chinos - Slim | Eddie Bauer,57.00 CAD,4.55
117,Men's Voyager Flex Chinos - Slim | Eddie Bauer,57.00 CAD,4.55
118,Men's Eb Hemplify Flannel Shirt | Eddie Bauer,77.40 CAD,4.75
119,Men's Eb Hemplify Flannel Shirt | Eddie Bauer,77.40 CAD,4.75
120,Men's Firelight Shearling Moc Scuffs | Eddie Bauer,84.00 CAD,55
121,Men's Firelight Shearling Moc Scuffs | Eddie Bauer,84.00 CAD,55
122,Men's Rainfoil® Insulated Parka | Eddie Bauer,155.40 CAD,4.55
123,Men's Rainfoil® Insulated Parka | Eddie Bauer,155.40 CAD,4.55
124,Men's Faultline Corduroy Pants | Eddie Bauer,60.00 CAD,4.25
125,Men's Faultline Corduroy Pants | Eddie Bauer,60.00 CAD,4.25
126,Men's Packable Rainfoil® Jacket | Eddie Bauer,77.40 CAD,4.75
127,Men's Packable Rainfoil® Jacket | Eddie Bauer,77.40 CAD,4.75
128,Men's Adventurer 4s Long-sleeve Flannel | Eddie Bauer,77.40 CAD,4.55
129,Men's Adventurer 4s Long-sleeve Flannel | Eddie Bauer,77.40 CAD,4.55
130,Men's Evertherm Down Jacket | Eddie Bauer,215.40 CAD,4.45
131,Men's Evertherm Down Jacket | Eddie Bauer,215.40 CAD,4.45
132,Men's Faux Shearling-lined Thermal Shirt | Eddie Bauer,77.40 CAD,4.75
133,Men's Faux Shearling-lined Thermal Shirt | Eddie Bauer,77.40 CAD,4.75
134,Men's Everson Down Jacket | Eddie Bauer,227.40 CAD,4.75
135,Men's Everson Down Jacket | Eddie Bauer,227.40 CAD,4.75
136,Men's Glacier Peak Seamless Stretch Down Vest | Eddie Bauer,137.40 CAD,4.75
137,Men's Glacier Peak Seamless Stretch Down Vest | Eddie Bauer,137.40 CAD,4.75
138,Men's Faultline Corduroy Shirt | Eddie Bauer,72.00 CAD,4.75
139,Men's Faultline Corduroy Shirt | Eddie Bauer,72.00 CAD,4.75
140,Men's Ignitelite Stretch Reversible Hooded Jacket | Eddie Bauer,179.40 CAD,4.75
141,Men's Ignitelite Stretch Reversible Hooded Jacket | Eddie Bauer,179.40 CAD,4.75
142,Men's Astrolite Hooded Jacket | Eddie Bauer,155.40 CAD,4.55
143,Men's Astrolite Hooded Jacket | Eddie Bauer,155.40 CAD,4.55
